"yrplot.id","plot.id","state.abbr","COUNTYNM","LAT","LON","STATE","COUNTY","POP2000","POP2010","SQMI","ID","MEASYEAR","Slope","Aspect","Elevation","Conifer_area","radiation","lichen.rich","Parmeliaceae","Physciaceae","Cladoniaceae","Coccocarpiaceae","Collemataceae","Lobariaceae","Caliciaceae","Pannariaceae","Lecideaceae","Nephromataceae","Peltigeraceae","Placynthiaceae","Ramalinaceae","Sphaerophoraceae","Teloschistaceae","Umbilicariaceae","Candelariaceae","Lecanoraceae","genus.rich","tot_abun","parm_abun","phys_abun","tot_abun_log","parm_abun_log","phys_abun_log","S.tree","D.abun.tree","D.area.tree","maxDiam","numTreesBig","numTreesSm","propDead","numDead","numCut","PIE.stems.tree","PIE.ba.tree","wood_moist_pct.rao.pres","bark_moist_pct.rao.pres","wood_SG.rao.pres","bark_SG.rao.pres","LogSeed.rao.pres","wood_moist_pct.rao.stems","bark_moist_pct.rao.stems","wood_SG.rao.stems","bark_SG.rao.stems","LogSeed.rao.stems","wood_moist_pct.stems","bark_moist_pct.stems","wood_SG.stems","bark_SG.stems","LogSeed.stems","wood_moist_pct.rao.ba","bark_moist_pct.rao.ba","wood_SG.rao.ba","bark_SG.rao.ba","LogSeed.rao.ba","wood_moist_pct.ba","bark_moist_pct.ba","wood_SG.ba","bark_SG.ba","LogSeed.ba","diamDist.mean","n.stems","basal.area","light.mean","light.var","lightDist.mean","totalCirc","FORTYPCD","PC1","PC2","PC3","regS_tree","raoQ","fric","feve","fdiv","fdis","pruinose","cilia","isidia","soredia","ascomata","secondary_photo","bullate","macculate","pseudocyphellate","hairy","metabolites","atranorin","usnic_acid","pulvinic_acid","pulvinic_dilactone","parietin","parietinic_acid","ascospore_length_mid","ascospore_width_mid","conidia_length_mid","regS","regParm","regPhys","regFIA","mat","iso","ap","pseas","rh","wetness","rain_lowRH","totalNS","mat_reg_mean","iso_reg_mean","ap_reg_mean","pseas_reg_mean","rh_reg_mean","wetness_reg_mean","rain_lowRH_reg_mean","mat_reg_var","iso_reg_var","ap_reg_var","pseas_reg_var","rh_reg_var","wetness_reg_var","rain_lowRH_reg_var","totalNS_reg","mat_reg_cv","iso_reg_cv","ap_reg_cv","pseas_reg_cv","rh_reg_cv"
"1994_1_37_1148","1_37_1148","AL","Coosa",32.895358,-86.098855,1,37,12202,11539,666.37,9277,1994,6,77,228,0.834400594,3833011.112,14,12,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,125.5,118.5,0,4.840242308,4.783316371,0,6,0.33782365384166,0.405645715460032,11,34,12,0.0869565217391304,4,0,0.66217634615834,0.594354284539968,0.0304670936725492,0.00953285075748586,0.0191806570122602,0.0555304059151954,0.0234435810880524,0.0152416925743862,0.00965332161949729,0.00918746489182268,0.033473883596001,0.0128147232894039,71.5364726737827,71.8389846490401,0.484093652170633,0.395868630483159,1.19842591464687,0.0044825790237692,0.0123158796706657,0.00249724722673603,0.0126904074015867,0.00486444364379472,76.2714264583368,74.3838740306876,0.472668639901187,0.363832825265372,1.10327286027324,1.87130124777184,183.480968858131,15193.6924906111,45.1666666666667,104.281609195402,11.7816091954023,856.712316633937,NA,-0.0518898970285346,0.131232971588549,-0.111123239759004,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4,4.2,1471,20,105.283799329805,1.82319082200398,0.60039113469244,605.414123535156,16.64114028,3.982813782,1380.723544,19.66201805,102.873295,1.548003002,0.57054358,4.783883311,0.101095567,16230.46437,34.45691542,11.30920216,0.074401343,0.075898038,583.0721406,0.287473287918224,0.0253829509822661,11.7550428110901,1.75246077652746,0.109933313208253
"1994_13_153_1080","13_153_1080","GA","Houston",32.455669,-83.562247,13,153,110765,139900,380.25,9327,1994,0,0,94,0,3903921.796,24,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,246,143.5,82,5.509388337,4.973279508,4.418840608,6,0.2699563263647,0.212630857634751,12.4,13,8,0.238095238095238,5,0,0.7300436736353,0.787369142365249,0.0103018901728926,0.0139982156120758,0.0102204280404972,0.0382777526281374,0.0194684292058993,0.0100442012949509,0.00738323899716892,0.00274459772576904,0.0155134853921328,0.0107890482463026,84.2074515465184,89.5891513345824,0.449515618760942,0.456642196762601,1.55396273128562,0.0106257787389594,0.0102040004379072,0.00474806934993348,0.0227356462689947,0.0123443087168547,84.411472597535,90.2923766859552,0.452262184170476,0.462537971562638,1.59945630069098,2.57692307692308,112.653979238754,9056.29510825575,47,134.444444444444,13.3333333333333,398.039789209827,NA,-0.1745232044162,-0.0498285526786967,0.0838939142204374,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,4.1,1148,21,101.525935750785,1.08804423492372,0.247718558703132,482.629455566406,16.84894515,4.09676512,1343.822316,21.53727145,102.8381195,1.484428497,0.51054923,6.234310566,0.084525178,18169.50828,77.23934659,11.01892275,0.087548835,0.072664652,483.6716459,0.37001192125075,0.0206321757592,13.5207668928159,3.58631067864449,0.107148232616214
"1994_13_169_1090","13_169_1090","GA","Jones",32.891323,-83.382031,13,169,23639,28669,395.55,9330,1994,14,104,140,0.123364225,3917739.454,16,12,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,213.25,165,27.5,5.367143557,5.111987788,3.349904087,7,0.249299924787685,0.195277471439244,17,26,9,0,0,0,0.750700075212315,0.804722528560756,0.0285610078484498,0.0106282930877347,0.025343470721622,0.047579013497658,0.0303826937598524,0.0212401250754568,0.00478464755790512,0.0158552101307311,0.0423760112754675,0.0348289930261962,78.3100916971489,82.5072906749511,0.510823270030566,0.499250889412236,1.93721908683451,0.0110620658058108,0.00793479564988899,0.017890744473439,0.0492041301342595,0.0437565678278668,77.9934939422438,88.9198572536933,0.509097597623615,0.482931127150636,2.02289874977034,3.77076923076923,138.110726643599,13933.5679727706,45.9615384615385,66.0384615384615,9,773.774270579166,NA,-0.10632282056238,0.135248139908647,-0.138781700684846,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6,4.2,1183,19,103.610118641367,1.253045500281,0.200592434854936,502.160217285156,16.50825112,4.063632287,1333.121525,20.66591928,102.7884486,1.463690092,0.494866313,6.494090704,0.081462799,18040.55992,67.97223413,11.16102867,0.088408521,0.071689396,501.6244029,0.393384535817505,0.0200467939140577,13.5325696732712,3.28909801732275,0.108582518969938
"1994_13_221_1412","13_221_1412","GA","Oglethorpe",33.8343,-82.997404,13,221,12635,14899,442.2,9332,1994,14,204,161,0.241575092,4205232.534,18,14,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,256.5,199.5,42.75,5.55101972,5.300814247,3.778491613,10,0.132734002267258,0.152253599585519,14.2,27,10,0,0,0,0.867265997732742,0.847746400414481,0.0216715936576189,0.0093667180886832,0.0248212226066897,0.0420144861928474,0.0257509994048568,0.0147980390558435,0.00251254471711328,0.0212443413538506,0.0345155565168594,0.0372647876102998,58.7800835559208,89.9050293358902,0.55484236239527,0.50856881948725,1.74240619754914,0.022757891192885,0.00846773658463422,0.0269428712792223,0.0454992826068007,0.0405850756213645,68.3532937547032,93.6746218851438,0.525518199947588,0.458367044140435,1.85611596849492,2.83703703703704,151.567474048443,11976.6030238636,46.4814814814815,41.951566951567,7.09401709401709,750.212325677243,NA,-0.101098115770505,0.1411504162969,-0.141090559689383,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,4,1211,16,101.140878517942,1.17453636855942,0.37340167978379,534.220397949219,15.79983647,3.987694195,1303.973017,19.1729354,102.4911527,1.399386982,0.46082187,6.864049053,0.07680147,18674.46717,54.5537212,11.35233539,0.096104818,0.068719529,539.2015331,0.43443798080019,0.0192596187782649,14.3212067477927,2.8453504933835,0.110764052222431
"1994_13_297_1415","13_297_1415","GA","Walton",33.782378,-83.73232,13,297,60687,83768,330.11,9336,1994,4,90,251,0.459229976,3851729.632,21,12,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,15,295.5,181.75,91.5,5.692047218,5.208119099,4.527208645,7,0.549617175886881,0.388926617353759,21,26,15,0.0975609756097561,4,0,0.450382824113119,0.611073382646241,0.0277273500101465,0.00628204289903929,0.0380858225643199,0.0517179257397844,0.0242320450920475,0.00842997285321834,0.0030796947600435,0.0213456164742141,0.0284309339083666,0.0217899522302353,73.0584094677634,88.2899502552264,0.490858991449101,0.449415905322366,1.14332447710611,0.00400461908406807,0.0023875307076786,0.00724917380711696,0.032911991361548,0.0113188617998556,76.7196198682632,92.9334562318239,0.476586930197493,0.400251049016523,1.22035608162359,4.26123076923077,212.851211072664,21634.7319628429,43.2608695652174,53.6561264822134,8.14229249011858,946.876025791964,NA,-0.092852955365131,0.123652337081051,0.00140143600644501,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1,3.9,1269,16,102.886625988476,1.36104511954908,0.382228877580606,588.8896484375,15.90328973,3.983392786,1319.60761,19.18866429,102.5283416,1.427724742,0.485374562,6.551372996,0.080291101,18386.42408,49.71776201,11.2216069,0.092776654,0.06972993,581.0809331,0.411950804344681,0.0201564609149744,13.9332510214912,2.59099649973604,0.109448828732445
"1994_23_11_8137","23_11_8137","ME","Kennebec",44.2618,-69.74883,23,11,117114,122151,951.22,911,1994,4,150,74,0.695747972,3401715.479,15,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,163,109.5,46.5,5.099866428,4.705015521,3.860729711,9,0.205464975674463,0.287997523733875,17.7,38,4,0.0238095238095238,1,0,0.794535024325537,0.712002476266125,0.0574135454096038,0.0113372605494489,0.0235047298997062,0.0304254760268039,0.0264677404286431,0.0776216332858111,0.00646827589084261,0.0445877330873887,0.0200744744258342,0.0268907505573448,86.4741959909138,89.7366596261906,0.415889291834376,0.490210417247838,0.507844940456455,0.052728610076356,0.00835597840137057,0.0164315934418158,0.0119933737369494,0.0269781835887624,83.3539615290921,82.2133821884319,0.366427265289457,0.480404752452198,0.615611668615938,3.88477951635846,86.8269896193772,19142.099186098,48.3783783783784,161.186186186186,14.1891891891892,1055.88929087153,110,0.0702904056027293,0.0560369788058329,0.133180637083354,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,2.9,1106,11,95.9829799309871,0.735239119554351,0.459073504261598,466.207275390625,5.055006676,2.708010681,1096.779706,14.63195372,101.8999435,1.026406086,0.145853375,5.114061075,0.056409531,11524.12465,15.57285206,28.65373339,0.05448704,0.14800387,482.245641,1.01168235826085,0.0208306161403948,10.507237312066,1.06430435456571,0.281194791732147
"1994_23_13_8135","23_13_8135","ME","Knox",44.25503,-69.05536,23,13,39618,39736,377.82,908,1994,0,0,156,0.742573678,3271911.954,16,13,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,358,344,7,5.883322388,5.843544417,2.079441542,9,0.360734034150498,0.382004395869301,14.4,84,8,0.130434782608696,12,0,0.639265965849502,0.617995604130699,0.0354057774682031,0.00799826279152933,0.0159122472518419,0.0430336009460371,0.03436027808383,0.0603713591659082,0.00621683897087499,0.0108400322193202,0.045814439937844,0.00664172830840242,69.8369872777934,80.5748968615677,0.380299803442988,0.395016955742273,0.678858995855109,0.0297913632204854,0.00393817915935792,0.010908106237224,0.0544384922577216,0.00867618242796783,60.246103715482,75.7199768035868,0.388711614334316,0.40220466694134,0.655009496418332,1.91092943201377,160.19723183391,24670.5107983595,44.041095890411,181.012176560122,15.3044140030441,1936.47771167275,190,0.0808522925610746,0.0498935233820516,0.157456716211888,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,2.9,1197,15,98.0804127988483,0.99521478709328,0.505573204646292,555.020935058594,5.026441632,2.706704173,1103.674637,14.50679794,102.0553428,1.031028556,0.134416686,4.770069743,0.054969104,11293.62673,14.48834495,27.53524635,0.053691141,0.141611612,474.3282231,0.948995351429558,0.0203085008507134,10.2327500799495,0.998727976354512,0.269807004655909
"1994_23_17_8164","23_17_8164","ME","Oxford",44.73301,-70.64211,23,17,54755,57833,2175.66,947,1994,0,0,375,0.241893381,3270422.128,21,11,5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,16,269.5,169,52,5.600272098,5.135798437,3.970291914,9,0.275431977747676,0.178772970173536,15.7,38,4,0.0238095238095238,1,0,0.724568022252324,0.821227029826464,0.0440293827824062,0.00768253717108588,0.0313554615746081,0.0313867511694583,0.021297449026564,0.0509489780205794,0.00495313995272543,0.0300213668510726,0.0366804168872215,0.00876367369785618,79.2169529350815,86.9374327501694,0.448812816323277,0.511171641493644,1.17224236114169,0.0307389743662032,0.00393841084109935,0.0245839753923001,0.0229591793022387,0.0158482703188896,67.7057107419951,86.2057070895803,0.488277694496103,0.513702300966638,1.28092177600448,2.84637268847795,86.8269896193772,14425.2667412709,51.7567567567568,144.744744744745,13.3033033033033,982.690182042887,840,-0.0508536549341232,-0.0605039043839502,0.180522028714669,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,2.8,1138,13,99.3744860219938,0.961718037023422,0.340366144743691,479.894470214844,4.800707825,2.680510806,1075.55442,15.27229862,101.8787307,1.022091753,0.143816236,5.799999499,0.059808701,11904.57182,21.54335576,27.74541328,0.053067695,0.143647607,488.5322174,1.20815507013281,0.0223124267457253,11.0683119316269,1.41061645637204,0.272337641913711
"1994_23_19_8905","23_19_8905","ME","Penobscot",45.50713,-68.71957,23,19,144919,153923,3556.09,1095,1994,NA,NA,141,0.914430737,3195463.432,17,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,145,127,0,4.983606622,4.852030264,0,6,0.386832164798125,0.222197668465423,14.3,9,9,0.444444444444444,8,0,0.613167835201875,0.777802331534577,0.0475033593120129,0.00935089592974961,0.0303883121876202,0.0444726120416478,0.00353426572279697,0.0335506107292318,0.00347025245228888,0.00589666357549788,0.011718849618299,0.00268166153124003,107.038579210507,95.7633012461757,0.351842399820909,0.414392955749571,0.644460848459669,0.0440605497761973,0.00929540618318942,0.0383898943561343,0.0533054300937028,0.00346790252659709,84.9184207277748,81.6758118462971,0.389167252895199,0.450353269517403,0.318249730198323,3.45555555555556,46.3702422145329,4025.16604064917,NA,NA,NA,269.234490412645,130,0.127283872409511,-0.0861531892298324,0.262742905938318,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,2.8,1042,14,103.209968895302,0.995247737648416,-0.016478229734797,424.438934326172,4.169291014,2.622067268,1087.521329,15.60705496,102.9091821,1.055641554,0.074529558,5.284042136,0.060399172,11642.78555,21.75935932,25.12403368,0.054784216,0.126220902,427.524505,1.26737186688499,0.0230349437396661,10.7057997296529,1.39420021110761,0.244137920128315
"1994_23_25_8916","23_25_8916","ME","Somerset",45.10391,-69.78323,23,25,50888,52228,4094.53,1113,1994,0,0,406,0.577560604,3251992.058,20,15,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,441.5,410.75,23.75,6.092440464,6.020416369,3.208825489,7,0.407052925267083,0.318661219637457,17.6,21,54,0.106666666666667,8,0,0.592947074732917,0.681338780362543,0.0284101815948094,0.00976453237044195,0.0182190523268131,0.0469138311730306,0.0282714104055154,0.0477656282356154,0.0104502542153237,0.024970956226837,0.0385868154565057,0.0128545801742241,98.3152939054601,88.389676043562,0.386110613061168,0.452695517020046,0.680986066736452,0.0506850438198325,0.0114721984003355,0.0252544960472855,0.043168653728412,0.0171472869796657,93.2942497816055,85.4261464549288,0.399046049152143,0.470307038010111,0.624294317551754,3.0952380952381,652.294117647059,16022.2640670574,47.5,156.666666666667,14.5,813.044178749038,130,0.119235051266265,-0.0799678460792419,0.282848604890829,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,2.9,1099,13,102.595898848029,1.05998186655255,0.110755728961582,455.0087890625,4.484426877,2.652324665,1082.01773,15.46572104,102.3736465,1.042167969,0.115562599,5.485293167,0.06100563,11845.80142,22.27730301,26.41792954,0.051229948,0.142097665,419.5279575,1.22318711341539,0.0230008153997995,10.9478810666069,1.4404309344765,0.258054005529636
