"","lichen.rich","Parmeliaceae","Physciaceae","fric","fdiv","raoQ","wetness","rain_lowRH","mat","iso","pseas","ap","rh","totalNS","radiation","ap_reg_mean","rh_reg_mean","wetness_reg_mean","rain_lowRH_reg_mean","mat_reg_mean","iso_reg_mean","pseas_reg_mean","ap_reg_var","rh_reg_var","wetness_reg_var","rain_lowRH_reg_var","mat_reg_var","iso_reg_var","pseas_reg_var","ap_reg_cv","rh_reg_cv","mat_reg_cv","iso_reg_cv","pseas_reg_cv","totalNS_reg","regS_tree","bark_moist_pct.ba","bark_moist_pct.rao.ba","wood_SG.ba","wood_SG.rao.ba","PC1","LogSeed.ba","LogSeed.rao.ba","PIE.ba.tree","propDead","light.mean","lightDist.mean","regS","regFIA","regParm","regPhys","tot_abun_log","parm_abun_log","phys_abun_log","bigTrees","diamDiversity"
"1997_56_13_7143",6,3,1,106.4012654,0.641223226,284.3939568,-0.949216947610673,-0.274594760102625,1.1,3.7,21,388,86.6413495145049,140.265350341797,4477979.935,382.6155327,86.25882408,-0.977750668,-0.264195178,5.419632495,3.688703466,36.33119384,13185.77188,60.98229442,0.206076807,0.184563638,8.560984966,0.046466248,337.9949303,34.4621970439937,0.706968766041171,1.57962462840389,0.0125969052346698,9.30316057844137,130.020911,34,12,0,0.37,0,0.162638807758562,2.02530586526477,0,0,0,54.1666666666667,15,300.159385560798,212.004284923007,86.7602835099145,45.7141756668987,3.265759411,3.186352633,1.609437912,-1.85879612836436,0.106137379074484
"1997_56_13_7850",3,3,0,74.9835589,0.81901025,225.6343571,-0.84369584239877,0.00382030988649518,-1.8,3.9,15,502,84.9426408063879,217.57958984375,4403450.665,382.1096154,86.38439358,-0.972212388,-0.271437317,5.253444945,3.698429487,35.47435897,13211.97387,63.05005839,0.217353861,0.184145264,8.16525866,0.048426516,312.8329428,34.5763972889545,0.729877883921356,1.5542674845715,0.0130938054031365,8.81856506736477,153.1001641,32,53.3387797338742,0.0235620787606777,0.396092760633941,0.00471372886887919,0.194677441292346,1.71487077362052,0.0167776392469454,0.674080721339712,0.0441176470588235,28.8888888888889,6.67365478686233,301.699868706216,212.639721680808,87.5792776672854,45.202630655102,4.204692619,4.48863637,0,-0.209584774080475,-0.0123768992235251
"1997_56_13_7852",5,4,1,215.4762782,0.967696275,324.1777974,-0.694670023353561,-0.387691514548835,4.1,3.9,20,430,90.2535028901429,81.4502334594727,2319742.911,383.3378033,86.73914505,-0.952090966,-0.287422373,5.284348942,3.684514687,36.57088123,12775.01457,59.1137548,0.199839319,0.178793431,8.000197699,0.04933215,330.7931218,33.3257363610504,0.681511845268067,1.51394197976111,0.0133890496281797,9.04525979889821,142.106441,33,60,0,0.489598302480427,0.0289872511002186,0.158566725545986,1.48381444390687,0.00368081688018542,0.285050435204796,0.181818181818182,59.375,17.3214285714286,301.819481525796,212.608952982148,87.2655268375347,45.5411239172433,3.3304172,3.424262655,1.871802177,-0.946109328442901,0.21072103267279
"1997_56_17_7844",5,1,3,329.354617,0.878007687,348.6373464,-1.38975978689721,-0.0428593143464661,4.3,3.8,47,326,80.0361161938886,102.715744018555,3458642.479,387.0428028,88.20004681,-0.871506975,-0.35552844,5.286373766,3.644388079,40.34305644,11085.51196,45.9320719,0.140628074,0.160147937,6.882030827,0.056830215,369.1299756,28.641565945171,0.520771513862647,1.30184340563709,0.0155938977320972,9.1497771406831,97.79372273,34,60,0,0.45,0,0.158566725545986,1.34044411484012,0,0,0,62.5,15,300.565417952321,210.450819520224,87.4177250330666,44.9007031871131,1.791759469,1.098612289,1.386294361,-1.44218593120038,-0.150671712364166
"1997_56_19_8611",7,6,1,355.3049279,0.665333881,372.6622353,-0.454871732338378,0.0258752645149165,-1.2,3.6,27,624,88.546201861881,244.80549621582,3134744.561,386.6053042,91.04357483,-0.72753706,-0.50097179,5.516499687,3.525803432,48.98471139,9146.236489,39.94241409,0.122935554,0.135818632,5.495991377,0.093400767,357.7160583,23.6578142866567,0.438717549970791,0.996282369044935,0.0264906336389317,7.30260622446019,191.6354748,36,63.9244028006954,2.76422067014365e-06,0.374708196048678,0.00131650552684859,0.193530266949877,0.634220030398394,0.00108268441975656,0.139764525523803,0.11864406779661,47.0192307692308,15.6297134238311,302.030346687264,209.401696146561,84.1864915289437,43.2887122389645,5.413875707,5.640132448,2.079441542,-0.452207754701736,-0.00246764661880203
"1997_56_23_6537",4,1,1,142.102291,0.845825838,295.8236476,-0.873933606399077,-0.693399942283559,3.2,3.8,19,286,91.4958421415264,119.885604858398,3976214.101,368.3406485,82.97101192,-1.169104755,-0.12091692,5.436252881,3.787553226,27.85522437,16250.9796,87.09330065,0.310828192,0.232439001,10.29888622,0.056358789,175.3578012,44.1194303864619,1.04968348143053,1.89448254991874,0.0148799992071715,6.29532897925101,129.2353412,26,60,0,0.68,0,0.158566725545986,2.17318626841227,0,0,0,55,27.6190476190476,292.398799547538,206.548987515818,85.7286638908394,44.6585514160176,2.818398258,2.079441542,1.504077397,1.37714280287226,0.749412049190996
"1997_56_23_7167",9,7,1,370.7511944,0.760555888,393.9163881,-1.11835568111536,0.0797763386306229,0.3,3.9,10,443,81.4977881880393,299.436645507812,559721.4138,373.7629366,84.40678538,-1.086907743,-0.184852418,5.276853056,3.766429495,30.12322122,14945.37601,82.59528535,0.300142904,0.212422206,9.098716077,0.052208147,210.1546596,39.9862440774712,0.978538454913967,1.72426936669278,0.0138614427986259,6.97650022436744,217.2494014,28,74.3986722752078,0.00593387882012157,0.375478623392485,0.0160792697228208,0.204434252224309,1.06872852108418,0.00334001483550261,0.658414738121915,0.0757575757575758,42.5862068965517,10.659407138536,287.034380797388,201.560382088835,82.3773258922132,42.0910200561295,5.308267697,5.407171771,2.079441542,-0.685524929563428,-0.117936445975035
"1997_56_23_7171",7,4,1,169.5250213,0.696088399,337.6228978,-1.05063730779108,0.166979579861147,-0.4,3.8,12,489,81.3063464865808,321.481140136719,4183211.855,376.2822086,84.91908994,-1.056594377,-0.206681226,5.237325544,3.760833064,30.78333871,14871.191,80.34002179,0.295076467,0.205386676,8.754814144,0.05164052,218.8073709,39.5213769349604,0.946077281878134,1.67161923971477,0.0137311385858418,7.1079804877994,236.5181707,29,69.2724097370004,0.00241348965164309,0.317840512171251,0.000366538301874214,0.159385237917474,0.94611316183606,0.00466944446027828,0.476683061587415,0,37.5,11.797385620915,284.436563253863,200.947595509029,81.7525021362743,39.914465112812,4.085976313,3.96081317,2.302585093,0.103616426211746,0.0314565856276455
"1997_56_23_7176",6,4,1,177.2834772,0.707489542,353.032976,-0.953121903096547,0.0863034810964812,0.8,3.9,14,494,83.0571042937063,280.582000732422,4194684.067,379.624077,85.48921213,-1.021953486,-0.230067168,5.211487577,3.751300161,31.74638844,14987.50379,77.95755039,0.291240028,0.197542629,8.425039071,0.050983376,231.9459367,39.4798557258,0.911899272991931,1.61662844754393,0.0135908548534834,7.30621491444209,226.417429,31,99.3014609413437,0.00376814094291548,0.352130425572623,0.000228273948705169,0.155342468218066,-0.752660665812742,0.00509751437972995,0.131942342351588,0.0256410256410256,44.8684210526316,11.1166429587482,272.849403606245,189.588726121447,78.6527057969923,37.9390562152261,4.634728988,4.08176578,3.409496184,-1.05796469981476,-0.103160125279859
"1997_56_23_7869",9,6,3,399.3085279,0.769065596,369.0580436,-0.537551474582273,-0.170977471677021,0.9,3.8,16,541,89.6679683694698,230.425506591797,4352157.353,385.8111643,86.17531217,-0.976619352,-0.25456405,5.165096154,3.744593301,32.5030303,15766.96816,74.33383669,0.28917122,0.185262772,7.957219933,0.051827012,234.1632805,40.8670604144049,0.862588539782252,1.5405753728007,0.0138404915658423,7.20435228157788,235.3366147,33,81.0849467864884,0.00566209074714534,0.407380482696476,0.015956590416409,0.168947966278743,1.09282323316371,0.000308721596789238,0.42350093543959,0,50,10,282.922920000109,201.155053478664,80.5504771992368,36.7240114238978,2.901421594,2.681021529,1.887069649,0.250722121160382,0.767804158103578
"1997_56_25_7099",3,1,1,142.102291,0.851380113,329.3561897,-0.961702213128605,-0.518066944718709,6.5,3.6,43,312,88.9108300683156,156.915802001953,4204512.531,403.4753305,88.60999185,-0.822973709,-0.348719234,5.930051813,3.646436633,44.93711706,10914.22689,52.69644933,0.171997043,0.162843984,8.190667701,0.070178427,433.4757219,27.0505432797458,0.5947009838259,1.38121351369042,0.0192457552573079,9.64627350974081,139.6914268,39,60,0,0.56778819186946,0.0508159399696236,0.158566725545986,1.76691016946075,0.00645263564233824,0.499706086430967,0,57.03125,19.304435483871,296.074899784087,201.29313089402,84.5256830804718,46.5214887327256,3.555348061,3.33220451,2.079441542,1.2038113202165,-0.316199990863242
"1997_56_29_7863",7,7,0,230.4575248,0.671401151,352.6765988,-1.15975989545232,0.0504554680621331,1.8,4.1,36,422,81.3790675530586,153.120864868164,2178866.58,386.6977918,88.39489915,-0.862171948,-0.366025416,5.138688213,3.651230284,39.70788644,11538.40154,45.87627645,0.148931317,0.154124146,6.728997201,0.059362639,346.8606825,29.8382917737675,0.518992350137208,1.30947761803816,0.0162582566375318,8.73530962228671,144.1646792,34,73.2685487508076,0.00477617346953359,0.390581017279895,0.00627129771836902,0.178856232884171,0.692989844412526,0.00162352407531969,0.582592125021974,0.173076923076923,32.8205128205128,10,303.429974412443,213.895755064766,85.9537038224968,44.2701226391618,4.65396035,4.94875989,0,-1.02888581700735,-0.175094135762845
"1997_56_29_7864",6,5,1,263.1760048,0.663185014,360.8840601,-0.568818514105252,-0.0790889308065121,-1.4,4,15,559,88.4579466250024,200.766754150391,3869989.969,389.4271293,88.07237864,-0.873988944,-0.34501639,5.059968304,3.672334385,37.98138801,13195.92037,51.67995355,0.185700199,0.156815882,6.855514901,0.05731263,319.2956459,33.8854675936929,0.586789574075707,1.35485332893896,0.0156065935155848,8.40663447623172,225.9881559,34,62.8377217741832,0.00336009771267321,0.373965620402136,0.0013050831154384,0.19581369413426,0.665202481179972,0.00299821215718719,0.2196468485157,0.171428571428571,35.2173913043478,12.6086956521739,289.816582739541,208.416624928127,81.299598419342,39.869635890849,4.248495242,4.340553386,2.079441542,-0.898856268870026,0.0559483056648769
