"","lichen.rich","Parmeliaceae","Physciaceae","fric","fdiv","raoQ","wetness","rain_lowRH","mat","iso","pseas","ap","rh","totalNS","radiation","ap_reg_mean","rh_reg_mean","wetness_reg_mean","rain_lowRH_reg_mean","mat_reg_mean","iso_reg_mean","pseas_reg_mean","ap_reg_var","rh_reg_var","wetness_reg_var","rain_lowRH_reg_var","mat_reg_var","iso_reg_var","pseas_reg_var","ap_reg_cv","rh_reg_cv","mat_reg_cv","iso_reg_cv","pseas_reg_cv","totalNS_reg","regS_tree","bark_moist_pct.ba","bark_moist_pct.rao.ba","wood_SG.ba","wood_SG.rao.ba","PC1","LogSeed.ba","LogSeed.rao.ba","PIE.ba.tree","propDead","light.mean","lightDist.mean","regS","regFIA","regParm","regPhys","tot_abun_log","parm_abun_log","phys_abun_log","bigTrees","diamDiversity"
"1997_56_13_7143",6,3,1,106.4012654,0.641223226,284.3939568,-0.949216947610673,-0.274594760102625,1.1,3.7,21,388,86.6413495145049,140.265350341797,4477979.935,382.6155327,86.25882408,-0.977750668,-0.264195178,5.419632495,3.688703466,36.33119384,4.1201055579757,60.98229442,-0.685970883323696,-0.733853857868446,8.560984966,0.046466248,2.52891018619704,34.4621970439937,0.706968766041171,1.57962462840389,0.0125969052346698,9.30316057844137,130.020911,34,12,0,0.37,0,0.162638807758562,2.02530586526477,0,0,0,54.1666666666667,15,300.159385560798,212.004284923007,86.7602835099145,45.7141756668987,3.265759411,3.186352633,1.609437912,-1.85879612836436,0.106137379074484
"1997_56_13_7850",3,3,0,74.9835589,0.81901025,225.6343571,-0.84369584239877,0.00382030988649518,-1.8,3.9,15,502,84.9426408063879,217.57958984375,4403450.665,382.1096154,86.38439358,-0.972212388,-0.271437317,5.253444945,3.698429487,35.47435897,4.1209677060937,63.05005839,-0.662832640745279,-0.734839446209641,8.16525866,0.048426516,2.49531248007496,34.5763972889545,0.729877883921356,1.5542674845715,0.0130938054031365,8.81856506736477,153.1001641,32,53.3387797338742,0.153499442216178,0.396092760633941,0.0686566010583046,0.194677441292346,1.71487077362052,0.129528526768992,0.674080721339712,0.0441176470588235,28.8888888888889,6.67365478686233,301.699868706216,212.639721680808,87.5792776672854,45.202630655102,4.204692619,4.48863637,0,-0.209584774080475,-0.0123768992235251
"1997_56_13_7852",5,4,1,215.4762782,0.967696275,324.1777974,-0.694670023353561,-0.387691514548835,4.1,3.9,20,430,90.2535028901429,81.4502334594727,2319742.911,383.3378033,86.73914505,-0.952090966,-0.287422373,5.284348942,3.684514687,36.57088123,4.10636140412315,59.1137548,-0.699319058929138,-0.747648441540434,8.000197699,0.04933215,2.51955647066479,33.3257363610504,0.681511845268067,1.51394197976111,0.0133890496281797,9.04525979889821,142.106441,33,60,0,0.489598302480427,0.170256427485774,0.158566725545986,1.48381444390687,0.0606697361143546,0.285050435204796,0.181818181818182,59.375,17.3214285714286,301.819481525796,212.608952982148,87.2655268375347,45.5411239172433,3.3304172,3.424262655,1.871802177,-0.946109328442901,0.21072103267279
"1997_56_17_7844",5,1,3,329.354617,0.878007687,348.6373464,-1.38975978689721,-0.0428593143464661,4.3,3.8,47,326,80.0361161938886,102.715744018555,3458642.479,387.0428028,88.20004681,-0.871506975,-0.35552844,5.286373766,3.644388079,40.34305644,4.04475575484958,45.9320719,-0.851927971163968,-0.795478651475881,6.882030827,0.056830215,2.5671793139821,28.641565945171,0.520771513862647,1.30184340563709,0.0155938977320972,9.1497771406831,97.79372273,34,60,0,0.45,0,0.158566725545986,1.34044411484012,0,0,0,62.5,15,300.565417952321,210.450819520224,87.4177250330666,44.9007031871131,1.791759469,1.098612289,1.386294361,-1.44218593120038,-0.150671712364166
"1997_56_19_8611",7,6,1,355.3049279,0.665333881,372.6622353,-0.454871732338378,0.0258752645149165,-1.2,3.6,27,624,88.546201861881,244.80549621582,3134744.561,386.6053042,91.04357483,-0.72753706,-0.50097179,5.516499687,3.525803432,48.98471139,3.96124242649359,39.94241409,-0.910322497317174,-0.867040648172346,5.495991377,0.093400767,2.55353843658324,23.6578142866567,0.438717549970791,0.996282369044935,0.0264906336389317,7.30260622446019,191.6354748,36,63.9244028006954,0.00166259455976003,0.374708196048678,0.036283681274763,0.193530266949877,0.634220030398394,0.0329041702487171,0.139764525523803,0.11864406779661,47.0192307692308,15.6297134238311,302.030346687264,209.401696146561,84.1864915289437,43.2887122389645,5.413875707,5.640132448,2.079441542,-0.452207754701736,-0.00246764661880203
"1997_56_23_6537",4,1,1,142.102291,0.845825838,295.8236476,-0.873933606399077,-0.693399942283559,3.2,3.8,19,286,91.4958421415264,119.885604858398,3976214.101,368.3406485,82.97101192,-1.169104755,-0.12091692,5.436252881,3.787553226,27.85522437,4.21087954513346,87.09330065,-0.507479597738656,-0.633690999784287,10.29888622,0.056358789,2.24392509124831,44.1194303864619,1.04968348143053,1.89448254991874,0.0148799992071715,6.29532897925101,129.2353412,26,60,0,0.68,0,0.158566725545986,2.17318626841227,0,0,0,55,27.6190476190476,292.398799547538,206.548987515818,85.7286638908394,44.6585514160176,2.818398258,2.079441542,1.504077397,1.37714280287226,0.749412049190996
"1997_56_23_7167",9,7,1,370.7511944,0.760555888,393.9163881,-1.11835568111536,0.0797763386306229,0.3,3.9,10,443,81.4977881880393,299.436645507812,559721.4138,373.7629366,84.40678538,-1.086907743,-0.184852418,5.276853056,3.766429495,30.12322122,4.17450684590684,82.59528535,-0.522671919807933,-0.672800085334577,9.098716077,0.052208147,2.32253902373062,39.9862440774712,0.978538454913967,1.72426936669278,0.0138614427986259,6.97650022436744,217.2494014,28,74.3986722752078,0.0770316741355241,0.375478623392485,0.126804060356208,0.204434252224309,1.06872852108418,0.0577928614579916,0.658414738121915,0.0757575757575758,42.5862068965517,10.659407138536,287.034380797388,201.560382088835,82.3773258922132,42.0910200561295,5.308267697,5.407171771,2.079441542,-0.685524929563428,-0.117936445975035
"1997_56_23_7171",7,4,1,169.5250213,0.696088399,337.6228978,-1.05063730779108,0.166979579861147,-0.4,3.8,12,489,81.3063464865808,321.481140136719,4183211.855,376.2822086,84.91908994,-1.056594377,-0.206681226,5.237325544,3.760833064,30.78333871,4.17234575157608,80.34002179,-0.530065425063157,-0.687427733705475,8.754814144,0.05164052,2.34006194785919,39.5213769349604,0.946077281878134,1.67161923971477,0.0137311385858418,7.1079804877994,236.5181707,29,69.2724097370004,0.04912728011648,0.317840512171251,0.019145190045393,0.159385237917474,0.94611316183606,0.0683333334491907,0.476683061587415,0,37.5,11.797385620915,284.436563253863,200.947595509029,81.7525021362743,39.914465112812,4.085976313,3.96081317,2.302585093,0.103616426211746,0.0314565856276455
"1997_56_23_7176",6,4,1,177.2834772,0.707489542,353.032976,-0.953121903096547,0.0863034810964812,0.8,3.9,14,494,83.0571042937063,280.582000732422,4194684.067,379.624077,85.48921213,-1.021953486,-0.230067168,5.211487577,3.751300161,31.74638844,4.17572930593015,77.95755039,-0.535748935867093,-0.704339170712219,8.425039071,0.050983376,2.36538676881759,39.4798557258,0.911899272991931,1.61662844754393,0.0135908548534834,7.30621491444209,226.417429,31,99.3014609413437,0.0613851850442391,0.352130425572623,0.0151087374954087,0.155342468218066,-0.752660665812742,0.0713968793416768,0.131942342351588,0.0256410256410256,44.8684210526316,11.1166429587482,272.849403606245,189.588726121447,78.6527057969923,37.9390562152261,4.634728988,4.08176578,3.409496184,-1.05796469981476,-0.103160125279859
"1997_56_23_7869",9,6,3,399.3085279,0.769065596,369.0580436,-0.537551474582273,-0.170977471677021,0.9,3.8,16,541,89.6679683694698,230.425506591797,4352157.353,385.8111643,86.17531217,-0.976619352,-0.25456405,5.165096154,3.744593301,32.5030303,4.19774819060414,74.33383669,-0.538844932736963,-0.732211842091305,7.957219933,0.051827012,2.36951879369746,40.8670604144049,0.862588539782252,1.5405753728007,0.0138404915658423,7.20435228157788,235.3366147,33,81.0849467864884,0.0752468653642485,0.407380482696476,0.126319398416906,0.168947966278743,1.09282323316371,0.0175704751440944,0.42350093543959,0,50,10,282.922920000109,201.155053478664,80.5504771992368,36.7240114238978,2.901421594,2.681021529,1.887069649,0.250722121160382,0.767804158103578
